delivery_date,weight,vehicle_size,billed_miles,total,pickup_state,deliver_state,duration_hours,rpm,predicted_cost,predicted_rpm,error,label
2022-12-29,42000,TRACTOR,1504.0,7900.0,TX,MI,26,5.252659574468085,6917.679582922864,4.599520999283819,-0.65,-7
2022-12-31,5,CARGO VAN,1784.0,2539.0,MI,NX,74,1.423206278026906,2509.3656791695657,1.4065951116421334,-0.02,-1
2022-12-29,42000,TRACTOR,1504.0,7900.0,TX,MI,28,5.252659574468085,6513.887424150126,4.331042170312584,-0.92,-10
2022-12-29,42000,TRACTOR,1504.0,7900.0,TX,MI,33,5.252659574468085,6836.907589908153,4.54581621669425,-0.71,-8
2022-12-29,2145,SPRINTER,697.0,1218.34,TX,TX,20,1.747977044476327,1543.3224831577174,2.2142359873137982,0.47,5
2023-01-05,3000,CUBE VAN,1065.0,4500.0,TX,GA,43,4.225352112676056,3110.253184276098,2.9204255251418765,-1.3,-14
2023-01-05,500,SPRINTER,1263.0,0.0,TX,TN,38,0.0,1486.2303547326203,1.1767461240955033,1.18,12
2022-12-29,984,CARGO VAN,1240.0,2300.0,KY,TX,23,1.85483870967742,1875.1248094839384,1.5121974270031762,-0.34,-4
2023-01-04,1100,SPRINTER,1458.0,3470.84,CU,KY,31,2.3805486968449934,3269.4142361332283,2.2423965954274543,-0.14,-2
2022-12-30,2300,DOCK HIGH STRAIGHT,753.0,1450.0,TX,PU,20,1.9256308100929616,2034.8924146464408,2.702380364736309,0.78,8
2022-12-30,2700,SPRINTER,1135.0,2103.29,KY,TX,31,1.8531189427312773,2149.253975285511,1.8936158372559568,0.04,1
2023-01-06,15000,TRACTOR,2127.0,6000.0,MI,GJ,80,2.8208744710860367,6715.705251019701,3.157360249656653,0.34,4
2023-01-04,40000,TRACTOR,696.0,2500.0,TN,TX,14,3.5919540229885056,3564.414708963436,5.121285501384246,1.53,16
2023-01-05,40000,TRACTOR,695.0,1875.0,TX,TN,11,2.697841726618705,3626.963434627165,5.218652423923978,2.52,26
2023-01-06,1700,SPRINTER,1485.0,2400.0,NX,IN,86,1.616161616161616,3251.112945494473,2.1893016467976247,0.57,6
2023-01-06,980,SPRINTER,1691.0,8500.0,MR,KS,52,5.026611472501479,4971.857063802014,2.9401875007699667,-2.09,-21
2023-01-04,6200,DOCK HIGH STRAIGHT,1624.0,3100.0,TX,MI,35,1.908866995073892,3363.098520053167,2.0708734729391423,0.16,2
2023-01-06,6100,TRACTOR,2011.0,8000.0,TX,MI,93,3.978120338140229,6385.9865262700805,3.17552785990556,-0.8,-9
2023-01-06,3600,TRACTOR,1302.0,4200.0,NX,TX,56,3.225806451612903,5992.208987834008,4.602311050563754,1.38,14
2023-01-05,19948,TRACTOR,1470.0,6450.0,TX,IN,39,4.387755102040816,5766.7727492794575,3.922974659373781,-0.46,-5
2023-01-04,42000,TRACTOR,734.0,2100.0,TL,TX,42,2.861035422343324,2995.432841127527,4.080971173198265,1.22,13
2023-01-05,918,SPRINTER,1643.0,2083.68,TX,MI,36,1.268216676810712,2024.145017202029,1.2319811425453615,-0.04,-1
2023-01-05,1375,CARGO VAN,1457.0,1550.0,MI,TX,49,1.0638297872340423,1711.0151964806585,1.1743412467266017,0.11,2
2023-01-05,280,CARGO VAN,1549.0,1704.88,TX,OH,40,1.1006326662362815,1832.8096396969645,1.1832212005790603,0.08,1
2023-01-06,1650,CUBE VAN,1092.0,2100.0,TX,TN,37,1.9230769230769231,2303.5613015204563,2.109488371355729,0.19,2
2023-01-05,2205,SPRINTER,1192.0,1316.0,GA,TX,49,1.104026845637584,1738.0571118752505,1.45810160392219,0.35,4
2023-01-04,2000,CARGO VAN,696.0,1250.71,TX,TX,13,1.7969971264367817,1277.0131766583509,1.834789046922918,0.04,1
2023-01-06,1440,DOCK HIGH STRAIGHT,2033.0,4000.0,OH,GJ,71,1.9675356615838664,4487.736469966663,2.207445386112476,0.24,3
2023-01-05,1740,CUBE VAN,1626.0,4123.32,TX,MI,41,2.535867158671586,2973.8857557971705,1.8289580293955536,-0.71,-8
2023-01-05,360,CARGO VAN,1620.0,1613.55,TX,MI,38,0.9960185185185184,1844.7950217533728,1.1387623591070202,0.14,2
2023-01-10,28980,TRACTOR,1634.0,10320.57,PU,MO,100,6.316138310893512,7795.074125771541,4.770547200594578,-1.55,-16
2023-01-04,39000,TRACTOR,689.0,4100.0,KY,ON,27,5.950653120464441,4335.334091488864,6.292212034091239,0.34,4
2023-01-06,4200,DOCK HIGH STRAIGHT,2184.0,4600.0,MA,TX,67,2.1062271062271063,4483.996955870408,2.0531121592813224,-0.05,-1
2023-01-04,2500,SPRINTER,353.0,864.45,PA,MI,19,2.44886685552408,924.1866291937572,2.618092433976649,0.17,2
